EmployeeID,Name,Age,Gender,Department,CareerLevel,SalaryTier,YearsAtCompany,TrainingAttended,TrainingHours,PerformanceScore,Promoted,Attrition,HireYear,Location
E0047,Wendy Anderson,50,Male,Operations,Mid,Low,2,Soft Skills,46,2.86,Yes,Yes,2021,Port Ericaburgh
E0048,Dr. Daniel Ballard DDS,51,Female,Sales,Manager,Medium,11,Leadership,25,2.98,Yes,No,2012,Andrewsburgh
E0049,Stacy Brady,57,Female,IT,Junior,Medium,6,Technical,19,3.3,No,No,2017,Stuartland
E0050,Emily Ross,37,Male,HR,Junior,Medium,0,Leadership,37,3.53,No,No,2023,Bobbychester
E0051,Joshua Pearson,45,Male,Marketing,Senior,Medium,0,None,0,4.49,No,No,2023,East Jamesfort
E0052,Erica Davis,54,Male,Operations,Senior,Low,12,Technical,22,2.23,Yes,No,2011,East Briana
E0053,Richard Hogan,56,Male,Marketing,Mid,Medium,12,None,0,3.19,Yes,No,2011,North Ryanbury
E0054,Jessica Smith,32,Male,IT,Manager,Medium,4,None,0,3.79,No,No,2019,Larryville
E0055,Matthew Henson,58,Male,Operations,Manager,High,0,Technical,44,1.75,No,No,2023,Barbaraberg
E0056,Christopher Cox,53,Female,Finance,Manager,Medium,12,Soft Skills,32,2.75,No,Yes,2011,Scottborough
E0057,Matthew Lane,38,Female,Operations,Mid,Medium,8,None,0,3.88,Yes,Yes,2015,Whitestad
E0058,Adam Armstrong,40,Male,HR,Junior,Low,13,Technical,40,3.43,No,No,2010,Contrerasmouth
E0059,Jennifer Morris,37,Male,IT,Mid,Low,8,Leadership,30,3.94,No,Yes,2015,South Zacharyberg
E0060,Joseph Ford,35,Male,Operations,Mid,Medium,6,Technical,38,3.77,Yes,No,2017,Torresburgh
E0061,Mark Kim,33,Male,Sales,Senior,High,0,Leadership,47,3.17,Yes,No,2023,Arnoldbury
E0062,Veronica Mcconnell,23,Male,Sales,Junior,Low,2,Leadership,17,2.75,No,No,2021,Bryantmouth
E0063,Amber Bishop,38,Female,Sales,Executive,High,3,Technical,45,2.65,No,No,2020,New Amy
E0064,Kristin Moore,48,Female,Marketing,Junior,Low,13,None,0,3.5,No,Yes,2010,Hullfurt
E0065,Jason Pruitt,49,Male,Operations,Senior,Medium,7,Technical,50,3.94,Yes,No,2016,Bartonside
E0066,Jennifer Marshall,46,Female,HR,Manager,Low,5,None,0,4.04,No,No,2018,Richardsberg
E0067,Lisa Anderson,42,Female,HR,Junior,High,11,Leadership,46,4.14,Yes,No,2012,Allisonfurt
E0068,Hunter Hunt,35,Male,Marketing,Junior,High,5,None,0,2.5,No,No,2018,Millsbury
E0069,Terry Barnes,32,Female,Finance,Junior,High,7,None,0,2.74,Yes,No,2016,Lauratown
E0070,Ashley Hanson,57,Female,Marketing,Mid,Low,1,Leadership,37,2.89,Yes,No,2022,New Christymouth
E0071,Brent Rush,48,Male,Sales,Senior,Medium,0,None,0,4.21,No,Yes,2023,Lake Malloryhaven
E0072,Gina Jimenez,56,Female,Sales,Manager,High,4,Technical,56,2.16,No,Yes,2019,South Crystalland
E0073,Alicia Miller,51,Male,HR,Manager,Low,6,None,0,4.28,No,No,2017,West Jeffreybury
E0074,Alicia Lowery,32,Male,Finance,Senior,Low,5,Technical,36,2.94,No,Yes,2018,Lake Diane
E0075,Robert Mcneil,56,Female,Finance,Junior,Low,6,Technical,15,3.54,No,No,2017,New Eric
E0076,Christopher Morris,44,Male,Finance,Manager,High,9,Leadership,28,4.79,Yes,No,2014,Erinfurt
E0077,Victoria Johnson,22,Male,Marketing,Executive,Medium,13,Leadership,10,4.39,Yes,No,2010,Martinstad
E0078,Adam Hess,47,Male,HR,Mid,Medium,2,Technical,59,4.18,No,No,2021,Smithville
E0079,Tiffany Moss,26,Female,Finance,Junior,Medium,0,None,0,3.45,No,No,2023,Perrymouth
E0080,Beth Banks MD,59,Male,Finance,Senior,High,1,Leadership,43,4.01,No,No,2022,Miastad
E0081,Sylvia Ramos,55,Male,Finance,Mid,Medium,7,Leadership,24,4.49,No,No,2016,North Christopher
E0082,Benjamin Nixon,25,Female,IT,Mid,High,0,None,0,2.03,No,No,2023,Hunterburgh
E0083,Heather Collins,55,Female,Finance,Senior,Low,13,None,0,2.74,Yes,No,2010,North Amyport
E0084,Sabrina Morales,37,Male,HR,Junior,Low,7,Soft Skills,13,3.82,Yes,No,2016,North Gregory
E0085,Elizabeth Bishop,24,Male,Sales,Manager,Medium,1,Leadership,28,2.7,No,Yes,2022,East Patty
E0086,Daisy Benson,27,Female,Sales,Junior,Medium,9,Leadership,55,4.18,Yes,No,2014,Charlesstad
E0087,Charles Barnes,48,Female,Operations,Junior,Medium,8,Technical,31,4.0,No,Yes,2015,South Kimton
E0088,Mary Adams,36,Male,Operations,Mid,High,13,Leadership,35,3.22,No,No,2010,North Courtneyburgh
E0089,Nicole Potter,23,Male,Sales,Senior,Low,7,Leadership,16,3.96,No,Yes,2016,Campbellfurt
E0090,Nicholas Contreras,39,Male,Finance,Mid,Medium,14,Leadership,34,4.03,No,Yes,2009,Lake James
E0091,Judith Scott,38,Male,Operations,Junior,Low,11,Leadership,34,3.7,No,No,2012,Harperhaven
E0092,Dr. Wayne Huynh,39,Male,Finance,Junior,Medium,1,Soft Skills,56,3.69,No,No,2022,East Marystad
E0093,Courtney Peck,40,Female,HR,Mid,Low,3,Soft Skills,35,2.16,No,No,2020,New Bryan
E0094,Oscar Mcdonald,54,Male,IT,Junior,Low,5,None,0,3.67,Yes,No,2018,Murillohaven
E0095,Christopher Hawkins,32,Male,Marketing,Junior,High,7,Soft Skills,18,3.38,Yes,No,2016,Calderonstad
E0096,Kelly Miller,52,Female,IT,Manager,Medium,10,Leadership,13,2.92,Yes,No,2013,Pruittmouth
E0097,Matthew Scott,51,Male,Finance,Junior,Medium,8,Leadership,11,4.83,Yes,No,2015,West Stephanieport
E0098,Jessica Garcia,27,Male,Operations,Executive,Medium,3,Technical,42,4.28,No,No,2020,Matthewbury
E0099,Mark Jordan,22,Female,HR,Senior,Low,4,Soft Skills,20,3.06,No,No,2019,Coxbury
E0100,Jessica Alvarado,31,Male,HR,Mid,Medium,1,Soft Skills,22,3.38,No,Yes,2022,New April
E0101,Shawn Davis,58,Female,HR,Junior,Low,14,None,0,1.97,Yes,No,2009,Joshuastad
E0102,Rebecca King,35,Female,Operations,Executive,High,1,Leadership,21,2.49,No,No,2022,North Joshua
E0103,Leon Cohen,43,Female,Marketing,Junior,Medium,10,Leadership,50,4.03,No,Yes,2013,Michellebury
E0104,Kimberly Johnston,40,Male,IT,Senior,Medium,3,Leadership,34,3.6,No,No,2020,Port Krista
E0105,Yolanda Harris,29,Male,Marketing,Mid,Low,2,Technical,47,1.47,No,No,2021,Russellberg
E0106,Michelle Smith,23,Female,IT,Mid,High,2,Technical,48,4.16,Yes,No,2021,Michaeltown
E0107,Brooke Lindsey,28,Female,HR,Senior,Medium,3,Soft Skills,24,3.14,No,No,2020,New Hayleymouth
E0108,Lori Ward,50,Female,IT,Junior,Low,4,Leadership,36,3.94,No,Yes,2019,North Courtney
E0109,Karen Glenn,43,Male,Marketing,Senior,Medium,9,None,0,4.18,Yes,No,2014,Eugenetown
E0110,Patricia Poole,45,Female,Sales,Senior,Medium,7,Leadership,14,2.99,No,No,2016,Vasquezstad
E0111,George Green,23,Female,HR,Junior,Medium,3,Soft Skills,45,3.65,No,No,2020,Sarahborough
E0112,Jessica Stephens,59,Male,Marketing,Junior,Medium,9,None,0,4.55,No,Yes,2014,Lauraburgh
E0113,James Shaw,34,Female,Operations,Junior,Low,0,Leadership,56,3.45,Yes,No,2023,Robertport
E0114,Sandra Jones,26,Male,Sales,Executive,Medium,9,Technical,58,4.55,No,No,2014,Greenchester
E0115,Desiree Wolfe,50,Male,IT,Junior,High,10,Technical,32,3.27,Yes,No,2013,Pamelamouth
E0116,Julie Hall,44,Female,HR,Executive,High,6,Leadership,49,2.97,No,No,2017,South Christopherfurt
E0117,Jimmy Herrera,30,Female,IT,Junior,Medium,9,Leadership,50,3.3,No,No,2014,New Karla
E0118,David Estrada,28,Female,HR,Mid,Medium,0,Technical,52,2.34,Yes,No,2023,Campbellview
E0119,Corey Benjamin,45,Male,IT,Senior,Low,4,None,0,3.04,No,No,2019,East Joseph
E0120,Katherine Davis,49,Male,HR,Junior,Medium,0,Technical,29,3.49,No,No,2023,Villanuevashire
E0121,Shari Clark,43,Male,Finance,Junior,High,0,Leadership,16,2.53,No,No,2023,Clairefurt
E0122,Eddie Wong,40,Male,Marketing,Mid,Medium,0,Soft Skills,54,3.1,No,No,2023,West Melissamouth
E0123,Lauren Wood,40,Female,Marketing,Junior,Medium,14,Technical,59,1.84,Yes,No,2009,Johnsonfort
E0124,Christopher Gomez,25,Female,HR,Junior,High,6,Leadership,12,4.06,Yes,No,2017,Montgomeryfurt
E0125,Holly English,55,Female,Sales,Mid,Low,11,None,0,4.41,Yes,No,2012,Port David
E0126,Rebecca Yates,29,Male,HR,Junior,Medium,2,None,0,1.58,No,No,2021,West Charlesshire
E0127,Laura Roberts,29,Female,IT,Junior,Low,13,Technical,41,3.81,Yes,No,2010,Shawfurt
E0128,Jaime Moreno,42,Male,Sales,Mid,Low,1,Technical,16,3.23,No,No,2022,Robertochester
E0129,William Cook,42,Female,IT,Junior,Low,3,Soft Skills,38,3.8,No,No,2020,North Jessicaborough
E0130,Sabrina Brown,23,Male,IT,Mid,Low,3,Soft Skills,14,3.02,Yes,No,2020,Port Kayla
E0131,Monica Schmitt,30,Female,Marketing,Mid,Low,3,Soft Skills,31,2.9,No,No,2020,Rodrigueztown
E0132,Victoria Walsh,44,Male,Sales,Manager,Medium,2,Soft Skills,26,3.28,Yes,No,2021,Port Matthewmouth
E0133,Scott Phillips,46,Male,Operations,Junior,Low,10,Soft Skills,55,3.51,Yes,No,2013,North Juliaborough
E0134,Richard Pierce,32,Male,Sales,Manager,Medium,9,None,0,3.69,No,No,2014,New Justinchester
E0135,James Kirk,38,Female,Marketing,Mid,Medium,11,Soft Skills,32,2.92,No,No,2012,Atkinsview
E0136,Samantha Johnson,28,Female,Operations,Senior,High,4,Leadership,37,2.56,No,No,2019,East Christinaview
E0137,Ashley Lyons,23,Female,Operations,Junior,Medium,2,Technical,45,2.94,No,No,2021,Kerrimouth
E0138,Tammy Crawford,56,Female,Sales,Executive,Low,7,None,0,4.2,No,No,2016,East Laurieshire
E0139,Sandra Gilmore,54,Male,Operations,Junior,Medium,2,Technical,44,3.27,No,Yes,2021,Michaelborough
E0140,Janice York,30,Female,Finance,Manager,Low,8,Leadership,49,3.56,No,No,2015,Dillonburgh
E0141,Timothy Cox,46,Female,Operations,Junior,High,4,Soft Skills,53,2.44,No,No,2019,North Laurachester
E0142,Jennifer Cox,38,Male,Marketing,Executive,Medium,14,Soft Skills,21,4.35,No,No,2009,North Jeremybury
E0143,Daniel Thompson,29,Female,Marketing,Senior,Medium,4,None,0,3.78,Yes,No,2019,New Jacobhaven
E0144,Chelsea Wright,36,Female,Finance,Senior,Low,9,Soft Skills,56,3.77,Yes,No,2014,East Allison
E0145,George Mooney,38,Male,HR,Junior,Medium,9,None,0,2.94,No,Yes,2014,Ruiztown
E0146,Ashley Clark,29,Female,Marketing,Executive,High,1,Technical,40,2.8,No,No,2022,Lake Melissafurt
E0147,Sarah Jimenez,39,Female,Finance,Mid,Medium,13,Leadership,40,4.28,No,No,2010,New Robertberg
E0148,Jason Spears,47,Female,IT,Senior,Low,14,Technical,58,2.29,No,No,2009,Robersonside
E0149,Oscar Ruiz,34,Female,Operations,Senior,High,9,Soft Skills,53,3.51,No,No,2014,Johnhaven
E0150,Allen Rose,50,Female,Finance,Manager,Medium,4,None,0,3.95,No,No,2019,Matthewstad
E0151,Cindy Morgan,31,Male,Operations,Junior,Low,3,None,0,2.54,Yes,No,2020,New Angela
E0152,Lisa Ibarra,51,Male,Marketing,Manager,Medium,4,Leadership,34,3.76,Yes,No,2019,West Douglasville
E0153,Alicia Contreras,36,Female,Operations,Mid,Low,7,Soft Skills,13,4.04,No,No,2016,Daleberg
E0154,Jessica Oliver,34,Male,HR,Executive,Medium,3,Soft Skills,17,3.0,No,No,2020,Bradyborough
E0155,Natalie Wright,31,Male,HR,Junior,Low,8,Technical,58,3.76,Yes,No,2015,Wrightfort
E0156,Kristin Hinton,41,Male,Sales,Executive,Low,9,Technical,44,4.29,No,No,2014,South Eric
E0157,Brittany Weaver,45,Female,Operations,Manager,Medium,12,Leadership,56,3.51,Yes,No,2011,Port Frederickmouth
E0158,Karla Newman,50,Female,Finance,Manager,High,11,Technical,51,4.34,No,No,2012,Bridgesfort
E0159,Tonya Brooks,26,Female,Finance,Senior,Low,11,None,0,2.58,No,No,2012,South Rita
E0160,Destiny Meadows,27,Male,HR,Executive,Low,11,Leadership,14,3.04,No,Yes,2012,Mcmahonchester
E0161,Danielle Terry,53,Male,Finance,Mid,High,2,Technical,49,3.58,Yes,No,2021,South Paul
E0162,Donald Cardenas,40,Male,Marketing,Manager,Low,10,None,0,4.79,No,No,2013,Donaldville
E0163,Brian House,46,Male,Operations,Executive,Low,10,Technical,47,3.64,No,No,2013,Sullivanbury
E0164,Cheryl Thompson,52,Male,Finance,Manager,Low,10,Technical,39,3.39,No,Yes,2013,East Staceymouth
E0165,Christopher Peck,23,Female,Marketing,Manager,Medium,6,Soft Skills,11,3.87,No,No,2017,South Marytown
E0166,Eric Bailey,52,Female,Operations,Mid,Low,12,None,0,2.56,No,Yes,2011,Lake Susantown
E0167,James Decker,51,Female,HR,Junior,Medium,1,None,0,3.9,No,Yes,2022,Jamesfort
E0168,Daniel Gillespie,25,Female,IT,Junior,Medium,3,Technical,36,2.14,Yes,No,2020,Scottview
E0169,Mark Martinez,38,Female,Operations,Senior,Low,9,None,0,4.86,No,No,2014,Joshuafurt
E0170,Debra Harper,50,Male,IT,Junior,Low,14,None,0,3.18,No,No,2009,North Coreyton
E0171,Diane Carrillo,44,Male,Marketing,Mid,Low,12,Soft Skills,13,2.59,Yes,No,2011,Lake Allisonfurt
E0172,Margaret Copeland,50,Male,IT,Junior,High,14,Soft Skills,23,2.16,Yes,No,2009,Markhaven
E0173,Jason Kelley,24,Female,Operations,Executive,Low,11,Leadership,38,3.47,No,No,2012,East Jennifershire
E0174,Charles Kelley,26,Male,HR,Executive,Medium,11,Technical,47,3.99,Yes,No,2012,Doughertychester
E0175,Vincent Cohen,46,Female,Marketing,Senior,Medium,11,Technical,25,2.7,Yes,Yes,2012,Floresland
E0176,Andrew Carroll,29,Male,Sales,Manager,High,3,None,0,3.26,Yes,No,2020,Mcdonaldbury
E0177,David Wolfe,45,Female,IT,Executive,Medium,13,None,0,4.8,Yes,No,2010,Kellyton
E0178,Jesse King MD,43,Female,Sales,Senior,Low,7,Technical,17,4.4,Yes,No,2016,Dawnport
E0179,Jodi Reynolds,29,Female,Finance,Mid,Medium,1,Leadership,55,3.9,No,No,2022,Anneshire
E0180,Stephen Brown,32,Female,Finance,Mid,Low,0,Leadership,21,3.52,No,Yes,2023,Brownshire
E0181,Robert Fisher,37,Female,IT,Mid,Low,0,None,0,2.85,No,No,2023,Grimesfurt
E0182,Anthony Hogan,54,Female,Operations,Manager,Low,12,Technical,35,3.62,Yes,No,2011,Davidfurt
E0183,Brianna Buchanan,47,Female,HR,Senior,High,1,Soft Skills,51,4.03,Yes,No,2022,Pricemouth
E0184,Hannah Benson,52,Female,Finance,Mid,Medium,7,Leadership,17,4.0,No,No,2016,Simmonsside
E0185,Benjamin Hogan,28,Female,IT,Senior,Medium,5,None,0,3.11,No,No,2018,Port Joseph
E0186,Michael Vargas,35,Male,Finance,Junior,Low,6,Technical,21,4.22,Yes,No,2017,South Shannonville
E0187,William Clark,40,Male,Finance,Executive,Low,7,Leadership,38,3.78,No,No,2016,Lake Zachary
E0188,Brian Potts,39,Male,Marketing,Senior,Low,7,None,0,4.14,No,No,2016,South Eric
E0189,Christopher Shaw,31,Male,Finance,Mid,Low,5,Technical,24,3.07,No,No,2018,New Lindamouth
E0190,Julia Carpenter,45,Male,IT,Mid,Low,11,None,0,2.38,No,No,2012,Jodiland
E0191,Sarah Harrington,53,Female,HR,Senior,Low,1,None,0,3.81,No,No,2022,Clarkborough
E0192,Regina Mullen,33,Female,IT,Mid,Medium,4,None,0,3.17,No,Yes,2019,Martinburgh
E0193,Todd Simon,29,Female,Finance,Mid,Medium,9,Soft Skills,53,3.61,Yes,Yes,2014,Michaelview
E0194,Dr. Miguel Allen,35,Male,Finance,Mid,Low,1,Leadership,48,1.42,Yes,No,2022,Samanthafort
E0195,John Turner,49,Male,IT,Junior,Medium,14,Technical,10,3.37,No,No,2009,Chamberston
E0196,Rachel Rodriguez,32,Male,Marketing,Manager,Medium,9,Leadership,38,3.69,Yes,No,2014,Cruzhaven
E0197,Mindy Orozco,22,Male,HR,Mid,Medium,11,Technical,10,3.03,Yes,No,2012,Port Davidport
E0198,Chelsea Edwards,58,Male,Operations,Mid,Medium,7,Technical,53,2.44,Yes,No,2016,Waltersland
E0199,Raymond Roy,27,Male,HR,Junior,Low,1,None,0,2.18,Yes,Yes,2022,South Carl
E0200,Samuel Clayton,54,Male,Operations,Mid,Low,9,Technical,29,3.89,No,No,2014,New Adamfort
E0201,Jason Sanchez,55,Female,Marketing,Mid,High,6,Soft Skills,40,3.4,Yes,No,2017,Lake Deborah
E0202,Danielle Boyd,44,Female,HR,Junior,Low,1,Leadership,51,1.88,No,Yes,2022,Millermouth
E0203,Thomas Spence,42,Male,IT,Junior,Medium,5,Leadership,14,3.18,Yes,No,2018,Trevinoshire
E0204,Patricia Smith,33,Male,IT,Junior,Medium,3,None,0,3.13,No,No,2020,Port Jennifermouth
E0205,Sarah Cox,37,Female,Marketing,Manager,Medium,8,Technical,35,2.71,No,No,2015,North Christopherfort
E0206,Thomas Bartlett,54,Male,Operations,Mid,High,8,Technical,22,3.09,Yes,No,2015,Lambmouth
E0207,Pamela Miller,55,Male,Marketing,Mid,Low,5,Soft Skills,28,3.67,No,No,2018,Mitchellshire
E0208,Julie Smith,32,Male,Operations,Mid,Low,6,Leadership,34,3.79,Yes,No,2017,Harveyton
E0209,Zachary Keith,28,Female,Operations,Senior,Low,12,None,0,2.51,Yes,No,2011,North Andrewview
E0210,Anne Smith,47,Female,Sales,Senior,Low,13,Soft Skills,19,3.44,No,No,2010,South Johnton
E0211,Diana Woods,42,Male,Finance,Manager,Medium,5,None,0,2.11,No,No,2018,Port Heatherfort
E0212,Sandra Smith,44,Male,Finance,Manager,Medium,10,Soft Skills,52,3.62,Yes,No,2013,Briggsstad
E0213,Steven Mcdonald,37,Female,Marketing,Senior,High,8,Technical,45,3.27,Yes,No,2015,North Markchester
E0214,Jamie Brown,48,Female,HR,Executive,Medium,7,Soft Skills,25,3.74,Yes,No,2016,Cranemouth
E0215,Keith Dean,23,Female,Finance,Junior,Medium,8,None,0,2.66,No,No,2015,Port Ericside
E0216,Dr. Brandy Schwartz DVM,52,Female,IT,Senior,Low,9,Technical,51,3.49,No,No,2014,Singhmouth
E0217,Sandra Mcgee,28,Male,IT,Manager,Low,12,None,0,3.93,No,No,2011,Lake Luisside
E0218,Jason Allen,43,Male,Finance,Senior,Medium,14,None,0,3.8,No,No,2009,New Samanthamouth
E0219,Kimberly Stanley,29,Female,Sales,Manager,Medium,10,None,0,3.0,No,No,2013,South Brandonhaven
E0220,Sarah Huffman,31,Female,HR,Manager,Medium,9,None,0,4.08,No,No,2014,Jenniferfort
E0221,Caleb Hernandez,56,Male,IT,Manager,Medium,4,Soft Skills,26,2.82,Yes,No,2019,New Katherine
E0222,Elizabeth Tyler,32,Female,IT,Junior,Low,12,Soft Skills,34,2.94,No,Yes,2011,East Caitlin
E0223,Jennifer Abbott,42,Male,Operations,Senior,Medium,12,Technical,48,4.33,No,No,2011,Rileyville
E0224,Jessica Moreno,53,Male,HR,Junior,Low,7,None,0,2.99,No,No,2016,South Isabelmouth
E0225,Caitlin King,30,Female,Operations,Mid,Low,8,Technical,48,3.42,Yes,No,2015,Lake Donald
E0226,Sharon Baker,48,Female,Marketing,Senior,Low,7,None,0,2.81,No,No,2016,Lake Christopherberg
E0227,John Goodwin,24,Female,Sales,Junior,Low,11,Leadership,11,2.18,No,Yes,2012,North Marisa
E0228,James Barber,26,Female,HR,Junior,Medium,8,None,0,2.96,Yes,No,2015,Lake Theresa
E0229,Kelly Lewis,51,Male,IT,Mid,Medium,0,Soft Skills,25,3.76,No,No,2023,Petersonville
E0230,Elizabeth Nash,49,Female,Operations,Executive,Low,3,Soft Skills,49,3.58,No,No,2020,Port Kevin
E0231,Christopher Hines,51,Female,Marketing,Mid,Medium,1,Soft Skills,17,2.68,No,No,2022,Timothyside
E0232,Stephen Moody,55,Female,Marketing,Junior,Low,6,None,0,3.55,Yes,No,2017,South Aaronborough
E0233,Jennifer Barnes,42,Female,IT,Mid,Low,0,Soft Skills,20,2.61,No,No,2023,Tylershire
E0234,Zachary Adams,27,Male,Sales,Executive,Medium,5,Technical,46,3.82,Yes,No,2018,Michaelview
E0235,Daniel Cummings MD,59,Female,Sales,Manager,Low,7,Technical,51,3.54,No,No,2016,East Bonnie
E0236,Leslie Montoya,30,Male,HR,Mid,Low,10,None,0,3.73,No,No,2013,South Edwinmouth
E0237,Yvonne Kerr,41,Female,Marketing,Senior,High,1,Soft Skills,34,1.67,No,Yes,2022,Valenciaville
E0238,Nicholas Martinez,37,Male,HR,Manager,Low,2,Soft Skills,44,2.95,No,Yes,2021,Erikafort
E0239,Catherine Smith,55,Male,IT,Junior,Low,8,Technical,24,3.44,No,No,2015,Juarezland
E0240,Denise Stephenson,34,Female,Sales,Executive,High,12,Technical,15,3.97,Yes,Yes,2011,Kimberlyberg
E0241,Cody Taylor,23,Female,Sales,Senior,Low,2,Leadership,14,2.95,Yes,No,2021,New Johnland
E0242,Janice Cole,52,Female,Marketing,Senior,High,2,Technical,18,4.14,Yes,No,2021,Port Rebeccahaven
E0243,David Brown,28,Female,Sales,Senior,Low,3,Leadership,13,2.08,No,No,2020,Austintown
E0244,Jason Young,58,Female,Finance,Manager,Medium,12,None,0,4.24,Yes,No,2011,Ryanburgh
E0245,Scott Drake,43,Female,IT,Manager,Medium,5,Technical,14,3.23,No,Yes,2018,South Stevenside
E0246,Mr. Michael Edwards,36,Male,IT,Senior,Medium,7,None,0,3.23,No,No,2016,Campbellshire
E0247,Cody Griffin,42,Male,Sales,Manager,Medium,4,None,0,2.5,No,No,2019,Lake Scott
